19:43:54 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/01] orchestrator: API routing: aws_bedrock
19:43:55 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/01] orchestrator: Running pre-run command: python3 $SKILLS_REPO_PATH/tests/tasks/uipath-maestro-flow/e2e/jira_lifecycle/seed_jira.py
19:43:55 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/01] orchestrator: [pre_run stdout] OK: wrote 3 seed issues (2 High / 1 other), tag=7ab88eda
20:04:58 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/01] evaluation.checker: Criterion 'run_command' FAILED (score=0.00, threshold=1.00): Command: python3 $TASK_DIR/check_jira_lifecycle.py
20:04:58 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/01] orchestrator: Success criteria: 1/2 passed, weighted score: 0.286
20:04:58 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/01] orchestrator: Running post-run command: python3 $SKILLS_REPO_PATH/tests/tasks/uipath-maestro-flow/e2e/jira_lifecycle/teardown_jira.py
20:04:58 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/01] orchestrator: [post_run stdout] OK: nothing to delete
20:04:58 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/01] orchestrator: Running post-run command: find . -maxdepth 5 -type d \( -name node_modules -o -name .npm-prefix -o -name .venv \) -prune -exec rm -rf {} +
20:04:58 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/01] orchestrator: Sandbox preserved (in-place): /work/output/artifacts/skill-flow-ipe-jira-lifecycle
20:04:58 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/01] orchestrator: Task finished: status=FAILURE duration=1267.1s score=0.286 iterations=1
