20:27:10 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/03] orchestrator: API routing: aws_bedrock
20:27:11 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/03] orchestrator: Running pre-run command: python3 $SKILLS_REPO_PATH/tests/tasks/uipath-maestro-flow/e2e/jira_lifecycle/seed_jira.py
20:27:11 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/03] orchestrator: [pre_run stdout] OK: wrote 3 seed issues (2 High / 1 other), tag=a3950e26
20:37:00 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/03] orchestrator: Success criteria: 2/2 passed, weighted score: 1.000
20:37:00 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/03] orchestrator: Running post-run command: python3 $SKILLS_REPO_PATH/tests/tasks/uipath-maestro-flow/e2e/jira_lifecycle/teardown_jira.py
20:37:04 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/03] orchestrator: [post_run stdout] OK: deleted CE-201
20:37:05 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/03] orchestrator: [post_run stdout] OK: deleted CE-202
20:37:06 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/03] orchestrator: [post_run stdout] OK: deleted CE-203
20:37:06 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/03] orchestrator: Running post-run command: find . -maxdepth 5 -type d \( -name node_modules -o -name .npm-prefix -o -name .venv \) -prune -exec rm -rf {} +
20:37:06 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/03] orchestrator: Sandbox preserved (in-place): /work/output/artifacts/skill-flow-ipe-jira-lifecycle
20:37:06 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/03] orchestrator: Task finished: status=SUCCESS duration=599.2s score=1.000 iterations=1
