17:24:16 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/01] orchestrator: API routing: aws_bedrock
17:24:17 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/01] orchestrator: Running pre-run command: python3 $SKILLS_REPO_PATH/tests/tasks/uipath-maestro-flow/e2e/jira_lifecycle/seed_jira.py
17:24:17 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/01] orchestrator: [pre_run stdout] OK: wrote 3 seed issues (2 High / 1 other), tag=da0c2d66
17:35:25 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/01] orchestrator: Success criteria: 2/2 passed, weighted score: 1.000
17:35:25 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/01] orchestrator: Running post-run command: python3 $SKILLS_REPO_PATH/tests/tasks/uipath-maestro-flow/e2e/jira_lifecycle/teardown_jira.py
17:35:29 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/01] orchestrator: [post_run stdout] OK: deleted CE-159
17:35:30 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/01] orchestrator: [post_run stdout] OK: deleted CE-160
17:35:31 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/01] orchestrator: [post_run stdout] OK: deleted CE-161
17:35:31 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/01] orchestrator: Running post-run command: find . -maxdepth 5 -type d \( -name node_modules -o -name .npm-prefix -o -name .venv \) -prune -exec rm -rf {} +
17:35:31 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/01] orchestrator: Sandbox preserved (in-place): /work/output/artifacts/skill-flow-ipe-jira-lifecycle
17:35:31 [INFO   ] [default/skill-flow-ipe-jira-lifecycle/01] orchestrator: Task finished: status=SUCCESS duration=677.9s score=1.000 iterations=1
